Student_ID,Student_Name,Batch_Year,Year_of_Study,Programme,Department,Mess_Hall_Assigned,Home_State,Home_Region,Dietary_Preference,Non_Veg_Frequency,Veg_Preference_Strength,Food_Allergy,Mess_Plan_Type,Monthly_Mess_Fee_INR,Registration_Date,Exit_Date,Is_Active,Avg_Attendance_Rate,Avg_Taste_Rating_Given,Preferred_Cuisine,Feedback_Participation_Rate,Scholarship_Holder,Hometown_Distance_km
S1001,Aryan Maharaj,2017,5,B.Tech,CE,MH_B,West Bengal,East,Veg,,Strict,None,Full_Board,3500,2017-07-08,2021-05-29,False,0.834,2.75,,0.099,,363.0
S1002,Udant Dewan,2017,5,B.Tech,EE,MH_B,Rajasthan,North,Eggetarian,Weekly_Once,,None,Full_Board,3500,2017-07-18,15/05/2021,False,0.952,4.23,North_Indian,0.262,True,935.0
S1003,Gagan Sami,2017,5,M.Tech,CSE,MH_G,Kerala,South,Non_Veg,Alternate_Days,,None,Full_Board,3500,2017-07-12,2019-05-15,False,0.793,3.19,North_Indian,0.506,False,710.0
S1004,Ayushman Chander,2017,5,B.Tech,ECE,MH_A,Himachal Pradesh,North,Non_Veg,Weekly_Once,,None,Full_Board,3500,2017-07-03,2021-05-20,False,0.867,4.4,South_Indian,0.262,,82.0
S1005,Viraj Tiwari,2017,5,B.Tech,ME,MH_B,Bihar,North,Vegan,,,Others,Full_Board,3500,06/07/2017,"May 25, 2021",False,0.592,2.49,,0.73,False,656.0
S1006,Rushil Saini,2017,5,B.Tech,ECE,MH_A,Tamil Nadu,South,Eggetarian,Daily,,,Full_Board,3500,2017-07-13,2021-05-22,False,0.832,2.44,South_Indian,0.679,False,2061.0
S1007,Saumya Mall,2017,5,M.Tech,BT,MH_B,Andhra Pradesh,South,Non_Veg,Weekly_Once,,None,Full_Board,3500,2017-07-04,2019-05-19,False,0.939,3.62,North_Indian,0.21,False,636.0
S1008,Nathaniel Sami,2017,5,B.Tech,ECE,MH_G,Meghalaya,Northeast,Veg,,Strict,None,Full_Board,3500,2017-07-11,2021-05-19,False,0.634,3.45,North_Indian,0.355,False,916.0
S1009,Arunima Dugal,2017,5,B.Tech,ME,MH_G,Bihar,North,Veg,,Flexible,,Lunch_Dinner,3500,"July 09, 2017",28/05/2021,False,0.859,4.53,South_Indian,0.203,False,712.0
S1010,Gayathri Chaudry,2017,5,M.Tech,EE,MH_B,West Bengal,East,Non_Veg,Daily,,,Breakfast_Only,3500,"July 17, 2017",28/05/2019,False,0.739,3.31,South_Indian,0.321,False,842.0
S1011,Lajita Chatterjee,2017,5,B.Tech,EE,MH_A,Uttarakhand,North,veg,,Indifferent,None,Full_Board,3500,2017-07-07,"May 19, 2021",False,0.8,4.35,North_Indian,0.348,True,296.0
S1012,Hemangini Lalla,2017,5,B.Tech,EE,MH_A,Madhya Pradesh,Central,Non_Veg,Alternate_Days,,None,Full_Board,3500,2017-07-03,"May 28, 2021",False,0.679,3.43,North_Indian,0.822,False,643.0
S1013,Tripti Yadav,2017,5,B.Tech,CSE,MH_G,Maharashtra,West,Veg,,Flexible,,Full_Board,3500,2017-07-07,2021-05-29,False,0.837,4.59,,0.451,False,70.0
S1014,Kritika Brar,2017,5,M.Tech,CSE,MH_B,Telangana,South,Veg,,Indifferent,None,Full_Board,3500,"July 13, 2017",2019-05-23,False,0.752,2.93,,0.323,False,387.0
S1015,,2017,5,B.Tech,BT,MH_A,Uttar Pradesh,North,Veg,,Strict,,Full_Board,3500,"July 09, 2017",2021-05-26,False,0.693,4.62,North_Indian,0.148,False,1310.0
S1016,Janaki Handa,2017,5,B.Tech,EE,MH_G,Uttar Pradesh,North,Veg,,Flexible,Lactose,Full_Board,3500,2017-07-18,2021-05-26,False,0.715,3.27,,0.277,True,89.0
S1017,Chakradev Kari,2017,5,B.Tech,EE,MH_A,Meghalaya,Northeast,Non_Veg,Alternate_Days,,None,Full_Board,3500,"July 17, 2017",21/05/2021,False,0.623,3.15,North_Indian,0.636,True,486.0
S1018,Fariq Kaul,2017,5,B.Tech,BT,MH_A,Tamil Nadu,South,Veg,,Flexible,None,Lunch_Dinner,3500,2017-07-17,2021-05-29,False,0.783,3.07,,0.568,True,171.0
S1019,Lajita Mall,2017,5,B.Tech,ECE,MH_A,Delhi,North,Non_Veg,Daily,,None,Full_Board,3500,17/07/2017,16/05/2021,False,0.437,3.12,North_Indian,0.563,True,1277.0
S1020,Janya Gaba,2017,5,M.Tech,CSE,MH_A,Punjab,North,Non_Veg,Alternate_Days,,None,Custom,3500,2017-07-16,"May 24, 2019",False,0.779,3.31,,0.833,,426.0
S1021,Isha Kadakia,2017,5,M.Tech,CSE,MH_B,Tamil Nadu,South,Veg,,Indifferent,,Custom,3500,2017-07-17,2019-05-19,False,0.565,4.27,No_Preference,0.513,,2416.0
S1022,Ekbal Garg,2017,5,PhD,CE,MH_B,West Bengal,East,Eggetarian,Daily,,None,Lunch_Dinner,3500,2017-07-03,"May 21, 2022",False,0.485,2.58,Continental,0.373,,463.0
S1023,Nihal Shere,2017,5,B.Tech,Other,MH_B,West Bengal,East,Non_Veg,Weekly_Once,,None,Full_Board,3500,"July 08, 2017","May 19, 2021",False,0.818,2.35,North_Indian,0.473,True,146.0
S1024,Anamika Kanda,2017,5,B.Tech,CSE,MH_A,Gujarat,West,Veg,,Strict,,Full_Board,3500,2017-07-17,2021-05-25,False,0.752,1.86,South_Indian,0.325,False,81.0
S1025,Daksh Karnik,2017,5,B.Tech,ME,MH_A,Uttar Pradesh,North,Veg,,Strict,None,Custom,3500,2017-07-10,2021-05-27,False,0.41,3.56,South_Indian,0.234,False,215.0
S1026,Diya Rattan,2017,5,B.Tech,ECE,MH_A,Rajasthan,North,Veg,,Strict,,Lunch_Dinner,3500,2017-07-08,2021-05-21,False,0.61,4.7,South_Indian,0.638,,539.0
S1027,Dominic Kakar,2017,5,B.Tech,CH,MH_A,Uttar Pradesh,North,Non_Veg,Daily,,,Full_Board,3500,"July 01, 2017",28/05/2021,False,0.751,4.02,North_Indian,0.402,True,1770.0
S1028,Simon Tata,2017,5,B.Tech,ME,MH_G,Karnataka,South,Veg,,Strict,None,Lunch_Dinner,3500,2017-07-04,10/08/2016,False,0.627,4.44,North_Indian,0.162,,303.0
S1029,Tara Dhar,2017,5,M.Tech,BT,MH_B,Bihar,North,Veg,,Flexible,,Breakfast_Only,3500,2017-07-08,2019-05-21,False,0.652,3.8,,0.345,False,303.0
S1030,Liam Koshy,2017,5,B.Tech,EE,MH_A,Maharashtra,West,Veg,,Indifferent,None,Full_Board,3500,2017-07-04,21/05/2021,False,0.662,3.32,No_Preference,0.47,False,186.0
S1031,Priya Rastogi,2017,5,B.Tech,CSE,MH_B,Uttar Pradesh,North,Eggetarian,Alternate_Days,,,Full_Board,3500,2017-07-12,20/05/2021,False,0.736,3.42,,0.093,True,444.0
